ref,sign,multiform,alexandrian
urn:cts:greekLit:tlg0012.tlg001.msA:18.204,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.205,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.206,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.207,none,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.208,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.209,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.210,none,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.211,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.212,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.213,none,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.214,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.215,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.216,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.217,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.218,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.219,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.220,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.221,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.222,>,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.223,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.224,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.225,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.226,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.227,none,t,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.228,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.229,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.230,⸖,f,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.231,none,t,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.232,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.233,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.234,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.235,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.236,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.237,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.238,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.239,>,t,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.240,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.241,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.242,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.243,none,t,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.244,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.245,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.246,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.247,⸖,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.248,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.249,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.250,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.251,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.252,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.253,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.254,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.255,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.256,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.257,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.258,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.259,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.260,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.261,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.262,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.263,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.264,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.265,>,t,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.266,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.267,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.268,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.269,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.270,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.271,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.272,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.273,none,t,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.274,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.275,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.276,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.277,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.278,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.279,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.280,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.281,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.282,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.283,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.284,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.285,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.286,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.287,⸖,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.288,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.289,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.290,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.291,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.292,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.293,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.294,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.295,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.296,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.297,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.298,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.299,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.300,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.301,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.302,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.303,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.304,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.305,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.306,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.307,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.308,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.309,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.310,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.311,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.312,none,f,f
