AnalysisRecord,PassageAnalyzed,QuotedString,Analysis,ReusedText
urn:cite:hmt:reuse.18_19_77,urn:cts:greekLit:tlg5026.msAim.hmt:18.57,"ἀμοιβηδὸν",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.506
urn:cite:hmt:reuse.18_19_78,urn:cts:greekLit:tlg5026.msAim.hmt:18.58,"πῶυι μεγ οιων",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.528
urn:cite:hmt:reuse.18_19_79,urn:cts:greekLit:tlg5026.msAim.hmt:18.60,"τεθνῃωττεθνῃῶτα",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.537
urn:cite:hmt:reuse.18_19_80,urn:cts:greekLit:tlg5026.msAim.hmt:18.62,"τέτυκτο",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.549
urn:cite:hmt:reuse.18_19_81,urn:cts:greekLit:tlg5026.msAim.hmt:18.65,"ἀργυρέοισιν",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.urn:cts:greekLit:tlg0012.tlg001.msA:18.563
urn:cite:hmt:reuse.18_19_82,urn:cts:greekLit:tlg5026.msAim.hmt:18.66,"ἐς αυτήν",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.565
urn:cite:hmt:reuse.18_19_83,urn:cts:greekLit:tlg5026.msAim.hmt:18.68,"δύο πρωτησι",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.579
urn:cite:hmt:reuse.18_19_84,urn:cts:greekLit:tlg5026.msAim.hmt:18.70,"Αριηδῃ",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.592
urn:cite:hmt:reuse.18_19_85,urn:cts:greekLit:tlg5026.msAim.hmt:18.71,"καλὰς οθόνας",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.595
urn:cite:hmt:reuse.18_19_86,urn:cts:greekLit:tlg5026.msAim.hmt:18.73,"ὅμιλος",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.603
urn:cite:hmt:reuse.18_19_87,urn:cts:greekLit:tlg5026.msAim.hmt:18.73,"τερπόμενοι",,
urn:cite:hmt:reuse.18_19_88,urn:cts:greekLit:tlg5026.msA.hmt:18.8,"χερσὶν ὑπο Τρώων",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.11
urn:cite:hmt:reuse.18_19_89,urn:cts:greekLit:tlg5026.msA.hmt:18.9,"Μυρμιδόνων τὸν ἄριστον",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.10
urn:cite:hmt:reuse.18_19_90,urn:cts:greekLit:tlg5026.msA.hmt:18.12,"ἀψ ἐπι νηας ϊέναι",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.14
urn:cite:hmt:reuse.18_19_91,urn:cts:greekLit:tlg5026.msA.hmt:18.12,"νηας ἐπ ὰψ ϊέναι",,
urn:cite:hmt:reuse.18_19_92,urn:cts:greekLit:tlg5026.msA.hmt:18.15,"σκυλεύσας τὰ ὄπλα ἔχει",urn:cite:hmt:reusetype.quote3,urn:cts:greekLit:tlg0012.tlg001.msA:18.21
