urn:cite:hmt:reuse.cit_71,urn:cts:greekLit:tlg5026.msA.hmt:18.169,"αἱ δ' ὑπ αμάξησιν",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:24.782"
urn:cite:hmt:reuse.cit_72,urn:cts:greekLit:tlg5026.msA.hmt:18.177,"ἱστίον",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:1.481"
urn:cite:hmt:reuse.cit_73,urn:cts:greekLit:tlg5026.msA.hmt:18.185,"νεφέλη δέ μιν ἀμφιβέβηκε τὸ μὲν οὔ ποτ' ἐρώει",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg002:12.74-12.75"
urn:cite:hmt:reuse.cit_74,urn:cts:greekLit:tlg5026.msA.hmt:18.185,"νωμῆσε βῶν τό μοι ἐστὶν",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:7.238-7.239"
urn:cite:hmt:reuse.cit_75,urn:cts:greekLit:tlg5026.msA.hmt:18.186,"ἔνθα μὲν εἰς ΑχέρονταΠυρὶφλεγέθον τε ῥέουσι Κωκυτός θ ",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg002:10.513-10.514"
urn:cite:hmt:reuse.cit_76,urn:cts:greekLit:tlg5026.msA.hmt:18.186,"η δέ κ' Ἄρης ἄρχωσι μάχης",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:20.138"
urn:cite:hmt:reuse.cit_77,urn:cts:greekLit:tlg5026.msA.hmt:18.189,"τὸν νοῦν ἵν' ἄρδω καὶ λέγω τί δεξιὸν",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0019.tlg002:96"
urn:cite:hmt:reuse.cit_78,urn:cts:greekLit:tlg5026.msA.hmt:18.189,"ἄξον δη ἔγχος Διομήδεος",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:6.306"
urn:cite:hmt:reuse.cit_79,urn:cts:greekLit:tlg5026.msA.hmt:18.207,"ἐνθά κεν ᾧ παρα σταθμῶ",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg002:14.32"
urn:cite:hmt:reuse.cit_80,urn:cts:greekLit:tlg5026.msA.hmt:18.207,"ρυτῆρα γενέσθαι",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg002:17.187"
urn:cite:hmt:reuse.cit_81,urn:cts:greekLit:tlg5026.msA.hmt:18.207,"παρα σταθμὸν μεγάροιο",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg002:17.96"
urn:cite:hmt:reuse.cit_82,urn:cts:greekLit:tlg5026.msA.hmt:18.210,"ἤρυγεν ἑλκόμενος ἜλικιἜλικωνιον",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:20.404"
urn:cite:hmt:reuse.cit_83,urn:cts:greekLit:tlg5026.msA.hmt:18.212,"λαοῦ ἀποτμήξαντε διώκετον",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:10.364"
urn:cite:hmt:reuse.cit_84,urn:cts:greekLit:tlg5026.msA.hmt:19.2015office3_2,"μετα γάρ τε καὶ ἄλγεσι τέρπεται ἀνήρ",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg002:15.400"
urn:cite:hmt:reuse.cit_85,urn:cts:greekLit:tlg5026.msA.hmt:19.2015office4_1,"οὐκ ἐλεαίρεις ἄνδρας ἐπῆν δεῖ γείνεαι αὐτόςαὐτὸς",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001.20.202"
urn:cite:hmt:reuse.cit_86,urn:cts:greekLit:tlg5026.msA.hmt:19.2015office5_6,"ὡσ καὶ ἐγὼ πολλὰς μὲν ἀΰπνουσ νύκτας ΐαυον",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:9.325"
